production_id,farm_name,field_id,field_location,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_quantity_kg,pesticide_type,pesticide_quantity_ltr,irrigation_type,irrigation_quantity_ltr,total_yield_kg,avg_yield_per_hectare,soil_ph,rainfall_mm,avg_temperature_c,labor_hours,number_of_workers,machinery_used,expected_market_price_per_kg,expected_total_revenue_eur
688,Wright-Espinoza,F-856,Claytonbury,Barley,Hulled,2024-04-05,2024-08-14,NPK 15-15-15,249.4,Neem Oil,17.6,Sprinkler,660.3,4847.5,3832.6,5.99,395.3,18.7,158.2,9,Tractor,0.97,4702.06
689,Henderson and Sons,F-203,Justinside,Soybean,Black,2023-11-22,2024-03-22,NPK 15-15-15,209.9,Chlorpyrifos,18.4,Sprinkler,1885.4,3521.3,2055.1,5.72,280.6,22.5,98.7,8,Tractor,0.75,2640.96
690,Gutierrez-Castaneda,F-659,East Keith,Corn,Dent,2025-01-19,2025-05-14,Compost,115.2,Neem Oil,25.4,Flood,532.8,6056.5,4399.9,7.04,240.8,23.0,156.7,7,Harvester,0.69,4179.0
691,Williamson-Nelson,F-303,Lopeztown,Soybean,Yellow,2024-09-07,2024-12-29,Compost,292.9,Chlorpyrifos,11.4,Flood,1899.0,3891.4,4073.2,5.78,585.3,18.0,170.9,2,Plough,0.73,2840.73
692,Booker Inc,F-994,North Julian,Wheat,Emmer,2023-08-28,2023-11-28,Urea,247.5,Chlorpyrifos,12.1,Sprinkler,1451.6,6091.4,2445.1,6.97,539.2,25.6,167.1,10,Tractor,1.45,8832.58
693,"Gonzales, Smith and Davis",F-885,South Jeffchester,Potato,Russet,2023-08-07,2024-01-03,Compost,157.7,Chlorpyrifos,16.6,Flood,728.3,6490.3,2610.8,6.16,309.0,20.1,118.1,8,Tractor,1.2,7788.34
694,Bolton-Ford,F-430,West Christopherberg,Soybean,Black,2023-12-30,2024-03-29,Urea,87.6,Glyphosate,19.6,Sprinkler,1298.5,6613.2,5167.0,6.81,320.2,23.5,188.8,4,Tractor,0.31,2050.09
695,Rowe-Jones,F-964,Whiteview,Corn,Sweet,2023-06-14,2023-10-21,NPK 15-15-15,244.9,Neem Oil,13.7,Drip,991.2,2634.3,4768.4,6.13,338.1,14.9,95.4,8,Harvester,1.02,2686.97
696,Clayton-Martinez,F-226,South Kelsey,Corn,Sweet,2025-01-25,2025-06-09,Urea,56.4,Neem Oil,26.4,Drip,1070.6,1245.7,552.3,6.39,439.5,14.9,107.1,3,Tractor,1.43,1781.31
697,Rojas Inc,F-719,South Jill,Corn,Sweet,2024-04-10,2024-07-29,Urea,237.4,Chlorpyrifos,15.4,Drip,1977.7,7809.5,10543.1,7.1,415.9,15.6,66.8,9,Tractor,0.89,6950.42
698,"Wade, Clark and Price",F-417,Sharonburgh,Wheat,Emmer,2023-07-13,2023-12-03,NPK 15-15-15,158.5,Neem Oil,12.5,Flood,626.7,4602.8,2078.0,6.79,433.8,18.6,192.7,6,Plough,0.73,3360.03
699,"Williams, Pineda and Meyer",F-631,Timothyport,Barley,Hulled,2024-09-01,2024-12-18,NPK 15-15-15,85.1,Chlorpyrifos,24.1,Drip,1394.3,8626.7,10093.1,5.92,643.9,16.1,142.6,4,Harvester,0.31,2674.29
700,Clay-Boyer,F-285,North Joel,Corn,Sweet,2023-10-03,2024-03-07,Urea,269.8,Glyphosate,24.7,Drip,1246.3,9687.7,4883.1,6.11,575.2,24.7,89.8,7,Tractor,1.27,12303.38
701,Smith-Bauer,F-517,South Kristinatown,Wheat,Emmer,2024-04-03,2024-07-05,NPK 15-15-15,184.9,Neem Oil,23.1,Drip,737.3,8999.4,15831.6,5.53,738.3,13.3,198.2,3,Harvester,1.35,12149.17
702,"Logan, Alvarez and Carlson",F-100,Kellibury,Soybean,Black,2023-06-03,2023-11-08,Urea,169.1,Chlorpyrifos,8.2,Flood,1310.0,4963.7,2242.2,7.41,601.1,13.3,123.9,5,Tractor,1.27,6303.95
703,Davis-Montgomery,F-513,North Michaelberg,Corn,Sweet,2023-09-01,2023-12-18,Urea,271.7,Glyphosate,11.2,Sprinkler,776.9,3030.0,4560.6,6.82,397.2,25.6,150.3,10,Plough,0.41,1242.29
704,"Moody, Martinez and Hall",F-854,Lindamouth,Potato,Red,2024-10-27,2025-02-10,NPK 15-15-15,237.0,Chlorpyrifos,20.8,Drip,1969.3,3951.5,3162.4,5.53,580.8,23.7,85.7,8,Harvester,0.47,1857.2
705,Smith Group,F-691,Jenniferview,Wheat,Emmer,2024-11-21,2025-04-21,Urea,163.0,Glyphosate,16.3,Sprinkler,1318.8,8719.1,9959.1,5.74,367.6,22.8,188.6,7,Tractor,1.34,11683.63
706,Washington Group,F-976,Amyfort,Barley,Hulless,2025-03-30,2025-08-29,Urea,240.8,Chlorpyrifos,6.6,Sprinkler,1139.8,7948.1,5626.4,5.55,526.0,13.3,196.3,3,Tractor,0.42,3338.19
707,"Lopez, Bailey and Oconnor",F-184,Mikaylaside,Potato,Red,2023-09-26,2024-01-10,Compost,95.7,Neem Oil,9.9,Flood,832.8,8859.8,7952.7,5.53,640.0,17.0,140.1,4,Plough,0.82,7265.0
708,Schmidt Group,F-643,Loriside,Potato,Russet,2023-09-03,2024-02-08,NPK 15-15-15,143.6,Glyphosate,22.0,Flood,1451.5,4263.9,4437.7,6.74,705.9,22.5,72.8,8,Tractor,1.44,6140.02
709,Smith-Little,F-587,Grosstown,Barley,Hulled,2024-02-11,2024-07-01,Urea,130.5,Neem Oil,28.5,Drip,612.3,3668.5,1593.7,6.92,600.9,14.9,160.0,3,Tractor,1.47,5392.65
710,Parsons-Allen,F-348,Lake Tammyfurt,Soybean,Yellow,2024-08-25,2024-12-11,Urea,246.6,Neem Oil,15.5,Flood,790.1,5328.4,6494.0,7.17,242.3,25.5,91.4,8,Tractor,1.47,7832.73
711,"Vega, Cannon and Moore",F-111,Marcusmouth,Potato,Russet,2023-09-26,2024-01-20,Compost,79.3,Chlorpyrifos,18.1,Flood,1397.7,4990.4,2705.6,5.96,463.0,23.5,131.2,9,Tractor,1.21,6038.42
712,Mills Inc,F-361,Port Sharonburgh,Wheat,Emmer,2023-07-26,2023-11-27,NPK 15-15-15,206.7,Chlorpyrifos,19.6,Flood,1537.2,9545.4,16402.6,7.09,655.1,15.1,65.5,7,Tractor,1.31,12504.46
713,Harris Group,F-962,North Anthony,Soybean,Black,2025-03-10,2025-07-31,Compost,233.1,Chlorpyrifos,21.0,Sprinkler,1129.5,1509.9,2125.4,7.17,789.9,13.2,65.2,9,Tractor,1.22,1842.04
714,Barrett-Fox,F-899,Brandonbury,Potato,Red,2024-09-11,2025-01-07,Compost,172.0,Neem Oil,25.9,Sprinkler,1409.9,6319.8,3451.1,7.24,600.5,12.6,66.2,3,Plough,0.42,2654.3
715,"Jones, Conrad and Clark",F-531,Hebertland,Wheat,Durum,2024-08-14,2024-12-12,Urea,229.6,Glyphosate,13.7,Sprinkler,1778.3,4246.3,2301.2,6.65,513.7,25.2,172.0,8,Plough,1.38,5859.9
716,"Brown, Grant and Hurley",F-522,Shortton,Wheat,Durum,2024-04-29,2024-08-20,NPK 15-15-15,232.3,Chlorpyrifos,14.0,Flood,1016.1,1217.3,508.9,7.45,349.2,18.2,57.2,9,Plough,0.42,511.27
717,"Baker, Williams and Jones",F-858,Christianborough,Barley,Hulled,2025-01-30,2025-05-26,Urea,238.3,Glyphosate,26.1,Drip,1000.6,6026.3,2706.1,6.73,643.9,23.7,84.1,6,Tractor,1.08,6508.4
718,Garcia and Sons,F-307,Lopezhaven,Wheat,Emmer,2024-06-08,2024-10-16,Urea,264.0,Chlorpyrifos,13.8,Sprinkler,1843.7,6596.2,3707.9,7.01,775.6,16.5,66.7,6,Plough,1.21,7981.4
719,Hudson and Sons,F-195,Reeseshire,Potato,Red,2024-09-23,2025-02-28,NPK 15-15-15,227.9,Neem Oil,15.1,Sprinkler,718.6,2601.2,1497.6,6.18,412.3,13.9,107.8,6,Plough,0.39,1014.46
720,"Ellis, Ortega and Andrade",F-661,Port Henry,Potato,Russet,2024-02-04,2024-06-14,NPK 15-15-15,216.9,Chlorpyrifos,5.7,Drip,1749.9,9995.0,7216.2,7.47,347.2,15.2,147.2,5,Tractor,0.35,3498.23
721,"Morgan, Moore and Murillo",F-549,Mahoneymouth,Wheat,Emmer,2024-03-08,2024-07-07,Urea,189.1,Neem Oil,9.8,Drip,1771.9,9681.3,4370.7,6.66,576.4,24.4,196.9,6,Plough,0.88,8519.56
722,Kirk-Gutierrez,F-427,Mckenziemouth,Barley,Hulless,2024-07-02,2024-11-24,Compost,139.3,Neem Oil,8.4,Flood,870.3,4332.1,1883.4,6.58,277.3,25.7,167.6,10,Plough,1.42,6151.52
723,Hart and Sons,F-834,Cannonview,Soybean,Black,2024-08-16,2024-11-27,Compost,211.2,Neem Oil,25.5,Drip,1197.9,8265.3,4838.6,6.65,231.9,20.7,124.6,8,Tractor,1.16,9587.73
724,West-Sanders,F-988,West Caitlinhaven,Corn,Sweet,2024-02-05,2024-07-01,Compost,87.0,Neem Oil,13.9,Flood,914.1,6031.0,9805.0,6.0,737.9,12.4,139.7,8,Plough,0.72,4342.29
725,Smith-Joyce,F-411,Port Leslie,Corn,Dent,2023-08-14,2023-12-09,Urea,108.1,Neem Oil,28.7,Drip,1649.5,6956.2,6212.8,7.46,552.1,24.1,195.6,2,Plough,1.14,7930.08
726,"Short, Ellison and Dixon",F-850,North Benjamin,Barley,Hulled,2024-12-21,2025-03-30,NPK 15-15-15,112.2,Neem Oil,24.3,Drip,1753.6,6524.7,4183.7,5.56,757.3,22.2,99.8,3,Harvester,1.18,7699.09
727,Taylor LLC,F-287,East Jonathan,Potato,Red,2024-02-02,2024-06-23,NPK 15-15-15,127.8,Glyphosate,22.7,Sprinkler,1249.5,4431.6,3058.8,5.87,440.9,15.2,197.8,3,Harvester,1.32,5849.73
728,Duncan PLC,F-670,Lake Chris,Soybean,Yellow,2023-12-21,2024-05-26,NPK 15-15-15,220.7,Glyphosate,9.2,Flood,518.9,3319.9,1469.9,6.15,383.8,23.2,135.2,7,Tractor,0.37,1228.37
729,Thompson-Petersen,F-993,New Dawnton,Corn,Sweet,2024-01-09,2024-06-10,Compost,278.2,Neem Oil,14.4,Drip,1837.2,2636.1,2814.1,6.91,727.8,14.5,72.3,9,Tractor,0.71,1871.62
730,"James, Deleon and Weeks",F-419,Michaelchester,Potato,Russet,2024-11-19,2025-04-26,Urea,76.9,Neem Oil,9.5,Flood,751.1,8994.1,4309.0,5.7,315.9,14.2,142.0,7,Harvester,0.44,3957.4
731,Kane and Sons,F-352,Lake Kimberlyfurt,Potato,Red,2024-03-20,2024-08-14,Urea,85.3,Chlorpyrifos,9.7,Sprinkler,562.4,9496.1,5168.2,5.62,789.4,18.7,176.5,3,Plough,0.38,3608.52
732,Warren-Flores,F-875,West Wayne,Wheat,Emmer,2023-06-13,2023-11-17,Compost,210.8,Chlorpyrifos,13.0,Sprinkler,1645.3,6067.0,3185.7,6.09,575.8,17.7,106.6,9,Tractor,0.93,5642.28
733,Williams Ltd,F-905,Maddoxshire,Soybean,Yellow,2023-10-20,2024-02-28,Urea,242.7,Neem Oil,6.4,Drip,782.1,6051.3,3519.6,5.68,735.3,22.5,135.7,4,Plough,0.67,4054.36
734,Walker LLC,F-460,Hernandezmouth,Barley,Hulled,2024-05-28,2024-11-02,Compost,63.1,Neem Oil,26.8,Flood,1262.6,1251.7,514.3,7.2,505.2,21.5,56.7,5,Tractor,0.76,951.27
735,Duncan-Williams,F-311,Bakerfurt,Soybean,Yellow,2023-07-05,2023-10-31,Compost,210.1,Glyphosate,6.1,Sprinkler,809.0,7411.7,11474.5,6.88,754.6,12.1,86.1,7,Tractor,0.54,4002.32
736,Ayala-Anderson,F-713,South Anita,Soybean,Yellow,2024-05-25,2024-10-09,NPK 15-15-15,205.4,Chlorpyrifos,27.0,Sprinkler,1520.6,9258.3,7100.3,6.92,741.3,16.3,191.0,6,Harvester,0.49,4536.54
737,Pearson-Gonzalez,F-897,East Charles,Wheat,Emmer,2024-05-14,2024-10-03,Urea,113.4,Glyphosate,20.7,Sprinkler,562.7,4394.2,2010.8,7.03,277.3,21.7,60.6,3,Tractor,0.53,2328.92
738,Morris-Glass,F-362,North Emilychester,Corn,Dent,2024-12-25,2025-04-02,Compost,228.8,Neem Oil,15.0,Flood,929.7,2650.2,2295.1,7.21,356.9,22.7,109.2,5,Tractor,1.43,3789.82
739,Lee-Cooper,F-211,Port Kevinstad,Potato,Red,2024-02-09,2024-06-03,NPK 15-15-15,107.2,Chlorpyrifos,9.6,Flood,1709.6,2144.0,860.7,5.98,569.2,18.1,71.4,2,Plough,0.86,1843.87
740,Hanson-Alexander,F-256,East Gina,Potato,Russet,2024-08-22,2024-12-16,Urea,264.9,Chlorpyrifos,28.0,Sprinkler,1193.1,7524.2,12806.8,7.3,233.9,17.3,192.0,10,Tractor,0.32,2407.74
741,"Farrell, Rodriguez and Brown",F-551,Port Marissa,Corn,Sweet,2023-08-31,2023-12-23,NPK 15-15-15,260.9,Neem Oil,18.2,Flood,741.6,4023.0,2071.2,6.59,390.5,13.6,59.8,10,Plough,0.33,1327.59
742,Cooper Inc,F-339,Shannontown,Wheat,Durum,2023-12-11,2024-04-20,NPK 15-15-15,145.3,Neem Oil,6.5,Sprinkler,1653.0,4333.3,5506.4,5.74,334.7,20.8,134.5,3,Tractor,0.42,1820.01
743,Singh and Sons,F-343,New Alexandra,Soybean,Black,2024-01-14,2024-05-19,Compost,172.6,Chlorpyrifos,13.6,Flood,1182.5,7170.5,5630.4,7.34,291.9,19.5,104.0,4,Harvester,1.39,9966.98
744,"Webb, Blair and Thomas",F-924,South Brandyhaven,Corn,Dent,2023-11-18,2024-03-19,Urea,86.0,Chlorpyrifos,15.3,Flood,1777.5,8937.4,7230.0,7.47,275.0,20.8,81.2,8,Harvester,0.33,2949.35
745,Jackson-Campbell,F-433,Briantown,Soybean,Black,2023-06-04,2023-10-29,Compost,149.7,Neem Oil,18.2,Drip,825.4,4995.0,3911.9,5.88,316.8,24.2,148.9,7,Harvester,0.74,3696.33
746,Guerrero-Alvarado,F-211,Michelletown,Potato,Red,2023-06-22,2023-11-06,Compost,213.1,Chlorpyrifos,27.6,Flood,1118.2,6796.0,7331.0,5.9,402.6,24.5,148.9,10,Harvester,0.47,3194.12
747,"Hughes, Whitney and Romero",F-379,West Toddside,Corn,Dent,2023-12-15,2024-03-17,Compost,220.2,Glyphosate,21.0,Flood,1672.8,7245.7,5696.6,5.9,446.8,18.6,180.2,4,Harvester,1.1,7970.3
748,Gonzalez Group,F-982,North Johnhaven,Barley,Hulled,2023-07-09,2023-10-19,NPK 15-15-15,132.9,Glyphosate,12.8,Sprinkler,804.5,8082.7,12036.7,5.8,327.8,23.8,104.4,7,Plough,0.31,2505.62
749,Burns-Garner,F-675,West Gabriellestad,Soybean,Black,2023-12-24,2024-05-05,NPK 15-15-15,275.2,Glyphosate,9.1,Drip,1298.5,7332.4,6792.5,6.74,295.0,19.7,120.4,6,Plough,0.42,3079.62
750,Young-Good,F-490,Lisaview,Corn,Sweet,2024-08-29,2024-12-15,Urea,144.8,Glyphosate,24.2,Flood,1532.2,9182.7,13228.9,7.14,758.6,20.2,77.3,2,Harvester,0.35,3213.93
751,Zamora-Briggs,F-238,New Stacybury,Potato,Red,2025-03-14,2025-07-25,Compost,125.0,Chlorpyrifos,27.9,Drip,1989.3,9890.3,4351.3,7.08,601.3,25.5,98.1,3,Harvester,0.38,3758.33
752,Prince-Sandoval,F-473,Lake Patrickbury,Potato,Red,2023-08-27,2023-11-27,Urea,98.0,Chlorpyrifos,29.6,Drip,1234.4,6596.8,3925.1,7.31,231.2,15.3,96.0,9,Harvester,1.49,9829.17
753,Berry Group,F-182,Reneemouth,Barley,Hulled,2024-03-21,2024-07-23,Urea,187.8,Glyphosate,26.8,Flood,516.0,7750.0,3837.5,6.65,381.6,14.8,120.5,8,Tractor,0.85,6587.48
754,"Anderson, Delgado and Carpenter",F-534,Port Devin,Barley,Hulless,2024-04-14,2024-08-24,Urea,226.8,Glyphosate,28.6,Flood,892.4,4301.1,2820.1,5.89,369.0,13.2,117.5,3,Plough,1.49,6408.71
755,"Roach, Browning and Jordan",F-176,Lake Sarah,Barley,Hulled,2024-10-17,2025-01-17,NPK 15-15-15,143.3,Glyphosate,19.3,Drip,1668.3,8296.8,3927.6,7.23,205.8,12.2,171.0,3,Tractor,0.43,3567.62
756,Stewart PLC,F-821,East Lonnieberg,Potato,Red,2025-04-13,2025-08-23,NPK 15-15-15,99.9,Neem Oil,28.2,Drip,637.6,8075.2,11346.9,7.4,202.3,23.1,85.0,2,Plough,0.45,3633.83
757,Cannon Group,F-825,Turnerview,Wheat,Emmer,2024-11-16,2025-03-27,Urea,201.4,Glyphosate,16.7,Flood,1514.2,6629.1,7488.1,7.23,236.8,14.6,50.9,4,Tractor,1.28,8485.2
758,Rodriguez and Sons,F-879,Port Valerieview,Barley,Hulled,2023-08-28,2024-02-03,NPK 15-15-15,97.0,Chlorpyrifos,23.9,Drip,743.6,6178.9,7031.9,6.77,555.4,20.4,126.0,6,Tractor,0.45,2780.51
759,"Salazar, Carlson and Hall",F-799,West Christopherfort,Soybean,Black,2024-08-14,2024-12-26,Urea,120.4,Glyphosate,6.6,Drip,1240.9,7619.0,4880.5,7.31,236.2,22.6,114.5,9,Tractor,1.09,8304.7
760,"Mathis, Harrison and Banks",F-682,Port Paul,Wheat,Emmer,2023-08-14,2023-12-28,Urea,231.8,Chlorpyrifos,16.3,Flood,1716.4,7282.7,4256.4,6.24,380.1,18.8,131.9,5,Tractor,1.45,10559.89
761,Martin and Sons,F-432,South Kathytown,Potato,Russet,2024-05-04,2024-08-07,Urea,165.9,Chlorpyrifos,16.3,Drip,1606.8,7217.8,5470.2,6.27,769.8,24.2,168.2,8,Plough,1.36,9816.18
762,Clements-Walker,F-276,Port James,Corn,Dent,2025-04-19,2025-09-02,NPK 15-15-15,198.2,Glyphosate,10.4,Drip,1086.9,1125.6,540.4,5.8,402.4,12.3,108.8,6,Plough,1.09,1226.85
763,Camacho-Burns,F-972,Michellebury,Barley,Hulled,2023-09-16,2024-01-08,NPK 15-15-15,171.8,Neem Oil,6.5,Drip,600.4,5378.8,2762.0,6.15,486.0,16.1,85.3,9,Tractor,0.82,4410.63
764,Parsons-Franklin,F-418,Cortezfurt,Soybean,Black,2024-03-29,2024-06-28,Compost,204.6,Neem Oil,8.0,Drip,1294.5,9611.7,5451.9,6.18,424.0,21.6,69.2,9,Tractor,0.71,6824.31
765,"Armstrong, Herrera and Davidson",F-339,New Danielmouth,Wheat,Emmer,2024-08-18,2025-01-02,Urea,208.5,Chlorpyrifos,24.7,Flood,1011.1,4753.0,5172.4,7.09,619.0,24.6,194.8,5,Plough,0.69,3279.57
766,Rich and Sons,F-623,Terrellton,Potato,Russet,2025-02-02,2025-06-03,NPK 15-15-15,146.0,Glyphosate,20.6,Drip,1293.9,5397.3,3749.4,6.43,740.3,25.3,159.2,3,Harvester,0.32,1727.13
767,Black-Mccoy,F-585,East Kellyfurt,Soybean,Yellow,2024-07-08,2024-11-10,NPK 15-15-15,105.8,Glyphosate,13.2,Flood,1223.8,7407.2,6034.0,5.79,363.7,16.5,197.8,10,Tractor,1.23,9110.82
768,Ayala-Mitchell,F-918,South Kelly,Corn,Sweet,2025-03-18,2025-07-23,Compost,120.6,Chlorpyrifos,15.6,Drip,947.3,7600.8,3856.3,5.91,377.7,12.4,146.6,8,Tractor,0.53,4028.41
769,Vaughn and Sons,F-554,Gallegosmouth,Barley,Hulless,2025-04-14,2025-07-31,Urea,76.9,Chlorpyrifos,16.4,Drip,1559.4,5020.2,3971.5,6.41,297.7,13.8,193.4,3,Tractor,0.49,2459.88
770,"Mason, White and Richards",F-126,South Robert,Barley,Hulless,2023-07-11,2023-11-25,Compost,158.6,Chlorpyrifos,14.9,Sprinkler,1419.6,2275.8,1051.8,7.02,586.2,16.5,163.5,2,Plough,0.75,1706.83
771,White PLC,F-635,South Christopher,Wheat,Durum,2024-04-16,2024-09-16,NPK 15-15-15,285.0,Glyphosate,7.3,Sprinkler,1958.5,1574.9,2477.1,6.18,447.6,22.5,123.9,10,Tractor,0.48,755.95
772,"Wong, Dawson and Martin",F-312,North Dannymouth,Potato,Red,2024-01-08,2024-05-27,Urea,89.8,Chlorpyrifos,10.7,Drip,1467.1,7251.3,4542.9,6.62,231.5,23.8,83.8,2,Tractor,0.41,2973.02
773,Miller-Zimmerman,F-496,South Andrea,Corn,Sweet,2024-09-05,2024-12-23,Compost,217.6,Glyphosate,17.8,Sprinkler,1238.3,9589.8,12368.4,6.84,618.3,19.7,56.0,2,Tractor,0.68,6521.06
774,Barr PLC,F-621,East Misty,Corn,Dent,2023-06-05,2023-09-03,NPK 15-15-15,149.3,Glyphosate,18.4,Flood,1616.4,4144.4,6267.5,6.06,533.8,19.2,74.0,5,Plough,1.36,5636.43
775,"Williams, Parker and Cross",F-392,Robertsburgh,Barley,Hulless,2023-09-17,2024-01-10,Urea,57.2,Neem Oil,29.2,Flood,1267.7,3943.5,3863.6,6.31,310.9,12.6,170.7,5,Tractor,0.44,1735.15
776,Horne Inc,F-155,Alexanderfort,Potato,Red,2023-08-01,2023-11-26,Compost,206.5,Neem Oil,27.3,Sprinkler,825.2,8979.9,4204.6,5.55,207.4,23.6,179.1,5,Harvester,0.73,6555.3
777,Stephens-Smith,F-603,Youngshire,Soybean,Black,2025-02-24,2025-07-22,Urea,190.2,Chlorpyrifos,24.9,Flood,1786.0,9858.1,5786.5,6.0,569.8,24.4,177.9,2,Tractor,0.5,4929.03
778,Chavez-Ramos,F-199,East Nicoleview,Barley,Hulled,2024-09-25,2025-01-31,NPK 15-15-15,142.0,Neem Oil,9.8,Sprinkler,1612.8,5005.5,2557.1,6.25,368.0,21.2,94.6,2,Tractor,1.45,7258.04
779,"Grant, Bryan and Williams",F-309,North Denise,Barley,Hulled,2024-08-25,2024-12-26,NPK 15-15-15,279.9,Neem Oil,28.8,Drip,1820.4,5112.3,2162.1,7.36,304.7,13.6,158.7,9,Plough,1.48,7566.28
780,Nash Ltd,F-808,Markland,Potato,Red,2023-05-30,2023-10-01,NPK 15-15-15,103.9,Chlorpyrifos,22.0,Drip,555.7,1203.0,739.7,6.36,479.4,14.5,52.0,2,Plough,0.38,457.15
781,Butler and Sons,F-787,Lake Justin,Wheat,Emmer,2023-06-09,2023-10-13,Urea,290.8,Glyphosate,10.9,Sprinkler,1715.5,7469.8,8250.3,7.49,226.5,19.9,178.5,10,Plough,0.62,4631.3
782,"Graves, Armstrong and Hart",F-940,Currystad,Soybean,Yellow,2024-09-26,2024-12-31,Urea,186.1,Chlorpyrifos,21.5,Sprinkler,1589.3,3578.7,5287.4,6.58,392.4,21.0,111.1,8,Harvester,0.74,2648.2
783,Davis LLC,F-791,Miguelfurt,Soybean,Black,2025-04-24,2025-08-29,Compost,152.0,Chlorpyrifos,7.2,Sprinkler,1827.2,2328.7,1262.0,6.17,415.2,18.5,163.1,4,Tractor,1.37,3190.32
784,Chang PLC,F-917,West Thomasville,Barley,Hulled,2025-01-28,2025-06-10,Compost,84.9,Glyphosate,25.6,Sprinkler,622.6,5861.9,2708.8,6.34,267.1,19.0,56.3,3,Plough,0.49,2872.33
785,Murphy-Gutierrez,F-826,Lake Jason,Wheat,Emmer,2024-10-22,2025-03-31,Urea,172.3,Chlorpyrifos,23.3,Sprinkler,1322.7,6981.7,8417.8,6.29,594.1,17.5,136.6,8,Plough,0.57,3979.59
786,Duncan Ltd,F-833,South Jenniferport,Wheat,Durum,2023-06-16,2023-11-11,NPK 15-15-15,273.3,Neem Oil,25.0,Sprinkler,716.5,2401.3,1272.0,5.64,770.1,15.4,110.9,5,Plough,1.2,2881.57
787,"Abbott, Green and Andrews",F-947,Sarashire,Wheat,Durum,2024-03-28,2024-06-29,Compost,67.8,Chlorpyrifos,16.3,Drip,1132.9,1146.0,1049.8,6.22,441.8,21.8,95.0,8,Harvester,0.55,630.29
788,"Daniel, Jimenez and Morton",F-707,Lake Kelly,Corn,Dent,2024-05-21,2024-10-12,NPK 15-15-15,219.8,Glyphosate,17.5,Sprinkler,546.6,6573.3,2810.2,6.9,716.7,17.4,130.9,3,Harvester,1.06,6967.72
789,Wilson Group,F-877,Lake Melaniechester,Potato,Red,2023-09-29,2024-02-28,NPK 15-15-15,168.7,Neem Oil,7.3,Drip,1586.4,9951.7,7898.6,6.93,753.4,18.4,162.4,5,Plough,1.46,14529.55
790,Cook PLC,F-321,North Danielle,Soybean,Yellow,2024-03-18,2024-07-27,Compost,152.7,Glyphosate,22.1,Flood,1794.1,3788.3,1844.1,7.06,761.3,18.2,125.3,9,Harvester,1.33,5038.47
791,King-Jones,F-814,Williammouth,Potato,Red,2024-10-18,2025-03-25,Compost,172.8,Chlorpyrifos,12.3,Drip,559.7,6883.3,11521.6,6.7,456.0,21.6,195.3,3,Tractor,1.0,6883.32
792,Wilson LLC,F-280,Randyshire,Soybean,Black,2024-12-17,2025-04-17,Urea,61.0,Glyphosate,10.6,Flood,1375.4,1051.2,512.4,6.49,628.3,23.3,192.2,3,Tractor,1.27,1335.07
793,Collier and Sons,F-548,Marthafort,Corn,Sweet,2024-08-22,2024-12-06,Urea,141.7,Neem Oil,15.7,Flood,1287.8,7663.2,3201.9,6.89,580.9,13.5,121.0,6,Harvester,0.98,7509.94
794,Robles-Brewer,F-466,Mooremouth,Potato,Red,2025-04-12,2025-07-19,Urea,150.3,Glyphosate,27.7,Drip,681.5,1586.6,1547.0,5.82,542.3,21.3,116.9,10,Harvester,1.44,2284.67
795,"Huang, Ford and Olsen",F-523,Port Adrianashire,Potato,Red,2025-03-24,2025-08-22,NPK 15-15-15,189.9,Glyphosate,10.1,Sprinkler,699.8,1601.4,769.9,6.9,206.7,12.8,168.2,3,Plough,0.52,832.71
796,"Stewart, Herrera and Clark",F-981,Laurenstad,Barley,Hulled,2024-11-15,2025-03-23,Urea,250.3,Glyphosate,21.6,Sprinkler,1218.1,8923.5,11527.2,5.7,432.7,20.9,131.2,3,Tractor,1.4,12492.85
797,Ramirez Inc,F-268,Tonyaside,Corn,Sweet,2023-06-22,2023-09-28,NPK 15-15-15,206.7,Chlorpyrifos,26.0,Sprinkler,1906.4,5299.2,2137.0,7.16,443.8,22.5,56.4,7,Harvester,0.39,2066.69
798,Duncan Group,F-866,New Darryl,Wheat,Durum,2025-02-14,2025-07-01,NPK 15-15-15,169.8,Neem Oil,27.2,Flood,1807.8,4517.0,2637.1,6.77,344.8,19.3,124.6,3,Harvester,1.34,6052.76
799,Thornton-Edwards,F-249,West Robertfort,Potato,Russet,2024-12-29,2025-05-21,Compost,60.0,Chlorpyrifos,14.8,Sprinkler,1475.3,1597.0,2384.7,7.47,404.9,23.7,140.8,6,Harvester,1.37,2187.9
800,Watson LLC,F-673,New Kevin,Potato,Red,2025-03-13,2025-07-30,Compost,201.3,Neem Oil,24.6,Drip,1204.0,7816.8,3587.3,5.68,493.8,16.8,127.5,3,Harvester,1.01,7894.93
801,Glover-Strickland,F-431,South Williamfort,Barley,Hulless,2023-07-28,2023-12-01,NPK 15-15-15,191.5,Chlorpyrifos,29.3,Drip,1738.6,6349.9,6644.4,6.54,446.9,15.7,113.6,5,Plough,1.41,8953.37
802,"Moore, Peterson and Webb",F-428,Kimberlyberg,Corn,Dent,2025-04-03,2025-07-26,NPK 15-15-15,249.5,Neem Oil,18.0,Drip,1586.9,7183.9,5874.1,7.25,583.2,14.9,168.5,7,Tractor,0.95,6824.73
